date,A,B,C,D,E,illumi
12月1日,9.760421096,4.556420761,0.650178396,8.751697606,8.952389758,91.93778731
12月2日,8.447084786,2.401156154,5.715034623,5.375699223,6.624078734,52.58577845
12月3日,7.517923752,4.058540424,2.787829307,9.074957155,9.224906481,64.88497185
12月4日,1.62133464,8.942807371,3.011391095,6.095223231,3.511591746,72.45405124
12月5日,3.652883264,4.551457601,2.526786645,7.673059045,4.169788438,79.30212866
12月6日,6.624478625,2.723383122,8.195658073,8.711706886,4.296006752,25.21132988
12月7日,5.592189052,4.003595117,0.963702159,3.859127243,3.556098813,47.4020991
12月8日,2.179924302,2.185509385,7.940895187,9.372023618,9.774095284,4.411976581
12月9日,7.240848806,9.545365821,4.034651554,0.733280567,5.893326933,11.91455861
12月10日,3.318323781,0.667216355,5.246654338,5.559177057,0.671454386,93.22259819
12月11日,2.024482829,0.393500373,6.888565564,3.3136282,7.113400092,68.47414367
12月12日,8.439840268,6.73010424,1.526721836,9.26793782,0.210817459,24.31417135
12月13日,5.085567211,7.22069786,5.850427401,6.324740611,2.541532349,76.07470955
12月14日,9.907029506,7.351606153,5.264940694,3.324255754,1.604822998,50.33260599
12月15日,5.100237851,0.9960175,5.302979671,8.402699812,2.989770874,81.18390272
12月16日,1.996264891,5.635766043,7.077633413,2.036372165,1.427918541,57.09614754
12月17日,6.53207666,8.024365329,9.646842323,8.241956486,8.166067451,67.39819943
12月18日,5.530292461,4.886249307,3.73079055,6.285397739,6.127301297,12.45775349
12月19日,6.051247005,2.514828793,6.868420397,0.333507586,3.522981953,2.515673882
12月20日,1.502395374,4.836494138,3.120127983,7.884925635,3.454214445,65.77406115
12月21日,3.917633372,8.238945309,6.137326768,5.447562907,4.319429853,58.79128658
12月22日,0.078992234,9.386828492,9.51738066,4.151811851,1.51903259,22.31410088
12月23日,3.022429009,3.628779227,5.183627539,4.87589231,9.198888856,2.296896677
12月24日,8.576856296,2.683041156,8.667966902,3.99504311,4.737261294,4.97912419
12月25日,5.644660385,8.287985223,6.736402349,2.546010716,3.768420455,66.95948037
12月26日,3.079711745,7.241251259,6.66884957,0.258347173,6.495701371,93.78710776
12月27日,0.072205828,1.01665075,3.273330857,3.417189668,9.796725296,78.07695912
12月28日,0.404266331,9.523021942,9.775411833,0.597020162,1.039684411,2.850378742
12月29日,5.583091798,1.169933564,6.661708807,9.017299295,7.215961809,96.98458784
12月30日,1.22834334,3.225357465,9.838519006,8.089104866,2.171155967,93.48022861
12月31日,1.703162227,1.355672443,9.726212453,4.456432321,7.156913354,73.80937863
